# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
33124.9 2601.3 30524.6 17.9587 30524.6 17.076 0.833262 -6312.67 15.9587 1029.12 6312.69 0.105658 0.00465757
12312.1 1611.41 10701.6 -28.0113 10701.6 11.2825 9.03266 -289.187 2.44193 1772.67 289.338 6911.45 0.00157104
192.594 2.57156 190.961 0.519973 190.957 -1.11419 -8.81586 -249.523 1.10071 296.71 249.681 26.3491 2.31102e-06
26681.5 14652.3 12030.1 16.74 12030.1 -3.95544 5.39552 -2755.18 8.26667 3265.29 2755.2 531.253 0.00372569
61445.9 6030.13 55416.7 31.9665 55416.7 -17.8926 4.47531 -6903.25 18.9745 4913.98 6903.28 0.105658 0.0084665
44937.8 4439.94 40498.8 20.5148 40498.8 12.4281 -4.90178 -6451.62 16.3431 4403.79 6451.65 0.105658 0.00630073
12139.4 1460.76 10679.6 2.64456 10679.6 4.63635 -6.30254 -1757.88 -11.2059 915.086 1757.93 0.105658 0.00154494
44383.2 26761.8 17622.3 -6.84381 17622.3 3.64979 9.13089 -1739.44 3.43357 2435.87 1739.46 3566.5 0.00622541
16815.7 1021.08 15795.5 5.32434 15795.5 -5.8599 0.213349 -352.859 -13.9103 2546.25 353.133 3607.77 0.00225326
16634.9 8737.69 7898.15 14.1077 7898.13 4.17475 -11.0905 -4050.14 -11.1186 522.791 4050.17 0.105658 0.00222593
24113.1 6337.04 17777 6.57646 17777 5.28042 7.99444 -2568.8 15.7968 3028.13 2568.86 912.925 0.00334721
5747.56 460.183 5288.32 1.69698 5288.32 5.10697 8.41873 -1662.46 4.86525 1506.51 1662.49 0.105658 0.000603302
151480 7851.8 143629 13.088 143629 -49.2796 8.58958 -7218.13 10.3839 3584.62 7218.14 0.105658 0.0184353
4599.54 288.625 4311.85 -3.05126 4311.85 -6.77964 -2.39628 -1776.4 -15.9286 2151.08 1776.48 310.914 0.000446454
2090.14 135.193 1955.89 -1.78459 1955.88 -6.19008 -9.95957 -1082.04 -16.2653 1166.43 1082.21 43.7868 0.000142111
145.24 67.4543 78.7251 3.47182 78.6392 -1.20425 -7.37491 -303.85 3.23818 79.9845 303.957 0.105658 1.36537e-06
2586.41 1382.31 1205.04 22.6978 1204.78 10.0037 -20.2158 -671.575 -5.83268 1070.17 671.904 277.407 0.000195975
