# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
40568.7 38401.3 2168.35 9.49606 2168.33 -3.92365 -25.2543 -6376.42 -7.57481 313.957 6376.47 0.105658 0.655791
75730.1 40238.7 35492.3 19.2224 35492.3 -21.9525 -0.509942 -5124.03 -11.1191 4183.03 5124.04 0.105658 1.10681
58288.6 53647.6 4641.96 31.3466 4641.81 -20.2753 -23.0553 -4258.67 24.0189 2537.36 4258.8 0.105658 0.894001
54285.6 15764.2 38522.3 -21.8519 38522.3 -22.311 9.7734 -2360.77 15.7479 2459.07 2360.84 63.0871 0.842374
14127.8 96.2149 14032.5 -0.0514931 14032.5 7.92785 5.05118 -1370.56 -1.44725 3861.88 1370.57 4412.66 0.237063
10737.4 2589.86 8148.45 -8.85513 8148.42 18.4975 -3.87291 -2985.64 -18.6864 3260.83 2985.7 115.527 0.176006
26281.7 4408.99 21873.7 28.6033 21873.6 36.1429 5.84953 -93.8762 -3.64465 3607.25 94.1289 20635 0.441308
39504.8 3621.62 35884.1 -26.6028 35884.1 26.4728 12.3944 -3894 -7.12574 4288.66 3894.02 636.457 0.640605
5574.78 516.595 5059.12 -16.6843 5059.1 2.93039 9.14866 -3350.75 -15.7517 2584.47 3350.8 0.105658 0.0811119
34225.4 17650.7 16575.7 -17.0531 16575.6 36.3895 8.80118 -3318.29 -26.0908 2916.6 3318.4 0.105658 0.563485
39589.1 2542.69 37047.3 -38.1119 37047.3 -4.82203 -0.827318 -3998.1 18.7739 2435.6 3998.15 0.105658 0.64181
9331.57 4075.56 5256.94 -7.95323 5256.94 2.78106 -2.36147 -252.064 -6.55321 2623.14 252.16 4388.14 0.150253
12667.3 5944.43 6723.79 -21.1608 6723.75 7.14471 25.5523 -4866.1 3.7396 2052.46 4866.17 0.105658 0.210965
16853.7 3535.87 13318.7 -4.73869 13318.7 -8.53199 9.77622 -3791.66 -6.55511 2749.99 3791.68 0.105658 0.28488
53733.2 34978 18756.2 -3.41951 18756.2 -21.718 3.07383 -2082.63 6.33495 3126.78 2082.64 1018.97 0.835159
57809.5 40172.5 17638 4.51436 17638 22.6613 -0.481767 -2412.45 -8.4799 1335.05 2412.47 0.105658 0.887888
10505.4 4510.43 5995.88 34.949 5995.77 9.81059 3.99034 -851.236 13.3925 1583.14 851.35 3078.12 0.171773
27353.2 7729.43 19624.7 9.67239 19624.7 -8.63909 -8.5741 -2677.6 -11.6128 2317.47 2677.63 0.105658 0.458264
