# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
12312.1 1611.41 10701.6 -28.0113 10701.6 11.2825 9.03266 -289.187 2.44193 620.523 289.338 218.052 0.830255
192.594 2.57156 190.961 0.519973 190.957 -1.11419 -8.81586 -249.523 1.10071 303.277 249.681 29.5741 0.00122131
26681.5 14652.3 12030.1 16.74 12030.1 -3.95544 5.39552 -2755.18 8.26667 2203.62 2755.2 0.105658 1.96893
61445.9 6030.13 55416.7 31.9665 55416.7 -17.8926 4.47531 -6903.25 18.9745 3039.82 6903.28 0.105658 4.47432
44937.8 4439.94 40498.8 20.5148 40498.8 12.4281 -4.90178 -6451.62 16.3431 4496.76 6451.65 0.105658 3.32977
12139.4 1460.76 10679.6 2.64456 10679.6 4.63635 -6.30254 -1757.88 -11.2059 2944.09 1757.93 1839.28 0.816458
35243.7 21471 13773.6 6.86746 13773.6 -2.50992 -8.87916 -3741.52 -10.7158 3592.38 3741.55 0.105658 2.62043
16815.7 1021.08 15795.5 5.32434 15795.5 -5.8599 0.213349 -352.859 -13.9103 3334.13 353.133 12629.7 1.19079
16634.9 8737.69 7898.15 14.1077 7898.13 4.17475 -11.0905 -4050.14 -11.1186 2856.01 4050.17 0.105658 1.17635
9331.57 4075.56 5256.94 -1.13941 5256.94 -8.34805 -8.40974 -1975.82 -5.65127 1226.33 1975.85 0.105658 0.593612
24113.1 6337.04 17777 6.57646 17777 5.28042 7.99444 -2568.8 15.7968 3358.68 2568.86 587.161 1.76891
3839.75 343.333 3497.35 1.56655 3497.35 4.71444 8.41873 -1392.28 4.86525 1015.39 1392.31 0.105658 0.183527
1140.58 89.8284 1051.69 3.73559 1051.68 -2.30545 -2.52123 -1015.52 14.8405 749.47 1015.63 0.105658 0.0286973
8857.73 2108.61 6750.06 -13.705 6750.02 -16.8807 -6.35957 0.888009 10.1035 1343.3 11.9714 6695.32 0.556424
3723.96 1527.59 2197.3 4.10409 2197.28 8.37327 -1.2455 -6.12829 -4.02963 1222.41 7.43943 2183.18 5.3755e-05
10505.4 4183.62 6322.68 3.77184 6322.68 1.83418 -0.670789 -3664.95 9.67388 2158.06 3664.96 0.105658 0.686348
18789.3 4645.75 14144.5 6.25848 14144.5 -4.10033 -6.60053 -2083.65 5.52386 3045.87 2083.67 1269.29 1.34835
1520.12 513.2 1007.86 13.385 1007.77 0.0575394 -9.20626 -1336.85 -7.57333 768.932 1336.9 0.105658 0.04569
1769.54 1048.41 722.072 6.12748 722.031 4.70847 3.61825 -583.779 6.07133 772.409 583.821 123.935 0.0580583
77358.5 46828.4 30531.1 28.9754 30531.1 9.56554 4.30407 -3179.22 15.8319 4109.04 3179.27 2186.47 5.51203
62231.4 51630.9 10601.4 7.1824 10601.4 5.64582 -3.61102 -1905.9 -2.45676 1817.03 1905.9 0.105658 4.52695
16698.5 11659.9 5039.52 -2.40484 5039.52 -5.07528 1.9733 -1166.56 2.52331 2046.44 1166.56 986.105 1.18144
51578.8 419.628 51160.1 -4.60229 51160.1 -4.06818 4.25792 -6382.36 -1.17584 2549.44 6382.36 0.105658 3.79935
10030.4 595.487 9435.85 -6.8238 9435.85 -5.83521 -6.9274 -2440.35 -12.298 3227.11 2440.39 601.221 0.648734
153.909 36.4402 118.408 -1.84876 118.332 -3.82023 5.02059 -295.096 9.80446 200.186 295.301 0.105658 0.000804077
21023.7 4631.92 16392.7 -26.2881 16392.6 36.6409 8.38567 -4154.74 -25.653 3273.69 4154.83 0.105658 1.52575
2119.41 1118.85 1001.5 17.7284 1001.31 8.15187 -9.77719 -216.628 10.3058 716.082 217.093 379.227 0.0767147
39827.5 10909.6 28918.9 -1.04227 28918.9 24.1418 6.72285 -1384.99 4.76159 835.198 1385.02 0.105658 2.9595
3878.2 151.192 3727.94 7.5668 3727.94 -1.75952 4.20412 -2577.62 18.624 1483.16 2577.7 0.105658 0.18612
12283.6 6777.7 5506.83 -3.66894 5506.83 7.1668 3.62301 -1821.4 -19.4656 1542.53 1821.5 0.105658 0.827967
30919.1 223.676 30696.4 -9.01297 30696.4 -0.569983 0.0778822 -686.59 -7.23037 2537.9 686.628 14034.4 2.29435
6617.74 1116.33 5502.35 14.0471 5502.32 -8.70799 -16.5717 -3933.19 -6.90092 1523.45 3933.23 0.105658 0.383798
41438.8 36220.9 5218.88 6.6236 5218.87 2.48577 -8.52714 -367.892 -13.8827 2117.57 368.252 3580.35 3.07711
12311.2 2409.86 9902.23 9.24971 9902.15 -38.5326 -3.56574 -348.406 5.16987 2927.06 348.463 7870.76 0.830175
21234.5 66.7867 21168.7 -5.82247 21168.7 -2.9388 -9.28996 -3846.77 19.8379 1368.07 3846.83 0.105658 1.54243
74936.8 56589.5 18348.2 10.16 18348.2 22.1389 -13.3871 -5877.17 -22.4745 1592.86 5877.23 0.105658 5.3578
2794.98 834.538 1961.39 -4.71586 1961.36 8.40042 11.9876 -1407.27 -3.95378 802.696 1407.33 0.105658 0.116159
1346.91 889.371 458.482 -1.48415 458.474 2.08042 4.89738 -756.881 -0.998445 571.461 756.898 0.105658 0.0376351
12774.1 9298.01 3477.03 9.63624 3477.01 7.57496 4.82701 -1084.29 -17.0074 1110.28 1084.44 9.95019 0.867194
36994.6 14058 22937.5 26.2102 22937.5 -5.10298 4.446 -1244.73 -16.5233 3119.07 1244.85 2776.09 2.75071
24906.5 9211.32 15696.1 -5.12407 15696.1 14.6258 6.63052 -3869.86 -16.9853 1496.01 3869.9 0.105658 1.83091
714.805 115.154 600.589 -5.00729 600.565 2.17461 13.7753 -529.977 0.518226 566.61 530.157 22.3551 0.0130447
31833.5 13344.3 18490.1 19.0189 18490.1 40.8311 -2.55974 -192.299 4.24746 2547.38 192.363 6224.06 2.36382
51494.4 44677.9 6817.52 -3.76873 6817.52 3.23166 -5.467 -4725.99 7.01559 931.92 4726 0.105658 3.79347
2228.01 1758.93 470.024 4.56333 469.922 8.6316 7.39984 13.4684 20.357 527.216 25.5062 447.802 0.0827781
15733.6 9735.32 5999.2 -11.9088 5999.16 -16.3148 -6.73731 -1305.86 -9.50544 2252.43 1305.91 901.789 1.10419
25734.1 1772.26 23962.8 -34.7959 23962.7 -11.5052 10.9356 -549.575 -6.56253 2811.62 549.723 10397.7 1.89538
23406.5 7417.05 15990.4 -25.9275 15990.3 21.4038 -5.44224 -1920.53 -4.43691 2721.35 1920.55 2701.04 1.71354
39747.2 13070 26678.2 -12.23 26678.1 42.6564 -4.04866 -6797.09 -7.63903 3510.03 6797.1 0.105658 2.95358
17520.9 2132.5 15389.3 -14.1457 15389.3 16.6499 -0.113606 -3172.96 -1.91633 2633.38 3172.96 0.105658 1.24716
63279.1 15473.4 47806.6 2.3681 47806.6 -31.285 -9.34912 -4974.48 -6.72984 1554.85 4974.5 0.105658 4.59695
39184.8 38515.7 670.025 0.123513 670.021 2.10974 3.28863 -1753.83 -7.17969 870.359 1753.85 0.105658 2.91232
22131.1 435.987 21696 1.84402 21696 -13.9977 4.13157 -2089.4 20.4308 3693.81 2089.5 2022.41 1.61322
