# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
40568.7 38401.3 2168.35 9.49606 2168.33 -3.92365 -25.2543 -6376.42 -7.57481 313.957 6376.47 0.105658 3.90474
75730.1 40238.7 35492.3 19.2224 35492.3 -21.9525 -0.509942 -5124.03 -11.1191 4183.03 5124.04 0.105658 6.59021
27765.1 5408.16 22357.9 -30.5898 22357.8 -2.99016 -6.3942 -2421.63 -10.4228 3194.1 2421.66 2122.45 2.76718
54285.6 15764.2 38522.3 -21.8519 38522.3 -22.311 9.7734 -2360.77 15.7479 4036.86 2360.84 2612.04 5.01571
14127.8 96.2149 14032.5 -0.0514931 14032.5 7.92785 5.05118 -1370.56 -1.44725 2571.16 1370.57 1638.37 1.41153
10737.4 2589.86 8148.45 -8.85513 8148.42 18.4975 -3.87291 -2985.64 -18.6864 1934.29 2985.7 0.105658 1.04798
26281.7 4408.99 21873.7 28.6033 21873.6 36.1429 5.84953 -93.8762 -3.64465 1985.78 94.1289 20635 2.62766
12600.2 10270.5 2330.68 11.7726 2330.65 0.890613 -8.59801 -530.936 3.0328 1296.47 531.014 929.279 1.24896
5574.78 516.595 5059.12 -16.6843 5059.1 2.93039 9.14866 -3350.75 -15.7517 2602.31 3350.8 0.105658 0.482961
34225.4 17650.7 16575.7 -17.0531 16575.6 36.3895 8.80118 -3318.29 -26.0908 3205.21 3318.4 0.105658 3.35513
39589.1 2542.69 37047.3 -38.1119 37047.3 -4.82203 -0.827318 -3998.1 18.7739 2674.36 3998.15 0.105658 3.8215
9331.57 4075.56 5256.94 -7.95323 5256.94 2.78106 -2.36147 -252.064 -6.55321 1552.63 252.16 4388.14 0.894642
16853.7 3535.87 13318.7 -4.73869 13318.7 -8.53199 9.77622 -3791.66 -6.55511 3088.43 3791.68 0.105658 1.69625
53733.2 34978 18756.2 -3.41951 18756.2 -21.718 3.07383 -2082.63 6.33495 2800.89 2082.64 731.266 4.97275
57809.5 40172.5 17638 4.51436 17638 22.6613 -0.481767 -2412.45 -8.4799 3498.01 2412.47 649.491 5.28671
10505.4 4510.43 5995.88 34.949 5995.77 9.81059 3.99034 -851.236 13.3925 3114.48 851.35 2817.51 1.02278
27353.2 7729.43 19624.7 9.67239 19624.7 -8.63909 -8.5741 -2677.6 -11.6128 2386.74 2677.63 0.105658 2.72862
77358.5 46828.4 30531.1 28.9754 30531.1 9.56554 4.30407 -3179.22 15.8319 3115.26 3179.27 0.105658 6.70316
31231 1070.49 30161.5 -0.597602 30161.5 -2.95259 -6.37563 -6290.76 1.81791 2337.22 6290.77 0.105658 3.08646
139911 83237.5 56674.7 -39.8325 56674.7 -17.4267 8.53137 -3367 14.3388 3740.71 3367.04 245.052 10.5602
10132.3 8072.48 2060.79 -11.8993 2060.74 -7.7691 4.26322 -520.012 -5.80835 1461.09 520.062 1100.31 0.982143
8337.12 6122.9 2215.16 -10.1848 2215.13 -3.4563 16.923 -4114.16 9.37852 1698.68 4114.21 0.105658 0.78556
1791.03 317.319 1474.65 8.70934 1474.59 9.78392 -16.6277 -1794.41 -6.80235 1404.39 1794.5 0.105658 0.100921
707.595 559.21 149.325 8.14066 149.092 1.80125 -14.616 -371.873 -20.7935 217.509 372.74 0.105658 0.0229026
54887.1 16842.1 38045.9 -8.00798 38045.9 8.32461 -5.29065 -7278.59 14.3075 1544.49 7278.61 0.105658 5.06234
153.909 48.1368 106.712 -0.473475 106.706 -0.989248 -6.8436 -78.7773 5.87314 159.758 79.2919 56.8639 0.00154307
87480.4 27872.5 59608.9 -29.9113 59608.9 9.76252 9.35737 -938.2 -1.56335 3834.49 938.248 13411.2 7.3877
43391.7 5479.8 37912.8 10.4532 37912.8 2.08019 5.8172 -1153.57 -5.31174 1734.23 1153.59 755.443 4.14146
2535.42 245.075 2291.28 1.89103 2291.28 -1.29204 3.39528 -536.185 -0.979812 1091.99 536.196 383.912 0.167998
8277.25 256.59 8021.6 -11.5381 8021.59 -10.163 -6.14336 -359.506 12.8575 2114.93 359.789 2824.61 0.778986
16969.2 14322.7 2647.38 27.6813 2647.21 9.86087 -32.1869 -3341.72 5.89116 2145.93 3341.88 0.105658 1.70817
50132.8 3376.61 46757.1 17.9102 46757.1 26.0611 -1.90677 -5200.34 -14.4713 4395.77 5200.36 0.105658 4.68927
12542.5 2244.94 10298.5 8.47655 10298.5 -4.71127 3.69923 -352.138 18.7986 2048.56 352.659 8170.51 1.24277
46360.1 9114.64 37246.4 11.3728 37246.4 37.6977 6.73391 -2576.11 -11.7782 3973.63 2576.14 2866.71 4.38559
18487.3 15317.9 3170.34 -4.67627 3170.31 11.635 9.88784 -3674.46 1.85647 1596.86 3674.48 0.105658 1.86348
10858.5 5442.96 5416.46 13.6745 5416.44 -6.95066 -5.14957 -4029.16 -1.80682 2186.47 4029.16 0.105658 1.06114
18606.3 1072.34 17534.9 3.47681 17534.9 11.1935 -9.38435 -3342.1 -0.714309 3170.56 3342.11 0.105658 1.87557
48130.5 12178.9 35952.5 -2.02102 35952.5 61.7711 7.63113 -3753.43 2.34018 4582.05 3753.44 864.483 4.52897
5076.9 3282.93 1794.91 1.89273 1794.89 -7.74404 -1.55127 -189.573 5.92183 1241.21 189.672 1496.06 0.429148
9420.04 1718.3 7702.68 -21.5885 7702.64 7.94198 7.37815 -4154.28 -9.12712 1233.74 4154.29 0.105658 0.904336
4349.39 1073.48 3276.85 -18.4091 3276.75 18.7633 -3.23858 -120.169 3.94901 1046.62 120.278 2981.93 0.351482
41477.8 5660.95 35817.8 -25.1197 35817.8 -13.1658 2.99966 -2097.64 11.7233 3465.65 2097.68 1325.96 3.98145
