# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
12312.1 1611.41 10701.6 -28.0113 10701.6 11.2825 7.74228 -289.187 2.09308 620.523 289.298 218.081 0.255671
192.594 2.57156 190.961 0.519973 190.957 -1.11419 -7.55645 -249.523 0.943468 303.277 249.639 29.5985 0.000376095
36725.1 21199.8 15526.3 -19.9439 15526.2 25.1169 12.2454 -6558.81 -27.2603 2139.16 6558.88 0.105658 0.840902
25381 2536.62 22845.4 0.998567 22845.4 9.73816 4.07912 -639.478 19.6119 3796.69 639.792 11247.3 0.575209
26681.5 14652.3 12030.1 16.74 12030.1 -3.95544 4.62473 -2755.18 7.08572 2880.25 2755.19 84.0105 0.606318
61445.9 6030.13 55416.7 31.9665 55416.7 -17.8926 3.83598 -6903.25 16.2638 5045.07 6903.27 0.105658 1.37783
44937.8 4439.94 40498.8 20.5148 40498.8 12.4281 -4.20152 -6451.62 14.0084 3536.16 6451.64 0.105658 1.02538
5503.8 352.744 5151.99 7.06542 5151.99 -3.60681 2.50685 -3286.88 20.4145 2618.4 3286.95 0.105658 0.092668
12139.4 1460.76 10679.6 2.64456 10679.6 4.63635 -5.40218 -1757.88 -9.60509 3022.53 1757.92 1679.03 0.251423
49627.2 39487 10141.2 4.53936 10141.2 10.3029 -10.3433 -3752.53 -22.0141 2938.41 3752.61 0.105658 1.12789
35243.7 21471 13773.6 6.86746 13773.6 -2.50992 -7.61071 -3741.52 -9.18494 1973.34 3741.54 0.105658 0.806942
43340.5 7.35932 43334.1 -1.03057 43334.1 -2.27014 5.40177 -3817.4 17.7616 4143.21 3817.45 231.175 0.99
16634.9 8737.69 7898.15 14.1077 7898.13 4.17475 -9.50618 -4050.14 -9.53023 1469.51 4050.16 0.105658 0.362247
55565.2 11331.1 44235.1 43.4105 44235 15.9011 -5.68041 -6862.88 -4.24008 4442.02 6862.88 0.105658 1.25492
9331.57 4075.56 5256.94 -1.13941 5256.94 -8.34805 -7.20835 -1975.82 -4.84395 1511.5 1975.84 0.105658 0.182799
24113.1 6337.04 17777 6.57646 17777 5.28042 6.85237 -2568.8 13.5401 2239.49 2568.84 0.105658 0.544724
3839.75 343.333 3497.35 1.56655 3497.35 4.71444 7.21606 -1392.28 4.17021 2108.38 1392.3 745.833 0.0565159
57450.5 8883.71 48567.7 12.1737 48567.7 13.2327 7.8607 -3057.61 -15.3139 5089.06 3057.66 2673.22 1.29463
1341.18 371.837 970.287 -5.38662 970.121 -17.1046 11.7828 -390.675 5.43839 1095.85 390.891 559.743 0.0115098
151480 7851.8 143629 13.088 143629 -49.2796 1.35229 -3147.32 -11.2596 2906 3147.34 0.105658 3.00015
56542 51716.7 4826.26 -14.5553 4826.23 -7.52169 3.48649 -920.525 19.2716 2235.63 920.733 1351.18 1.27553
27353.2 16426.4 10927.7 26.7883 10927.7 10.6762 -19.9079 -3696.2 -16.0853 1905.5 3696.29 0.105658 0.622322
4599.54 288.625 4311.85 -3.05126 4311.85 -6.77964 -2.05396 -1776.4 -13.6531 2331.99 1776.46 425.012 0.0726557
185.409 33.3633 152.984 3.26946 152.944 1.32259 0.655497 -369.666 -9.97344 252.732 369.801 0.105658 0.000350393
84509 8800.52 75709.4 35.9022 75709.4 -32.3114 -4.46012 -1417.15 17.4421 4164.97 1417.27 24505.3 1.83543
2090.14 135.193 1955.89 -1.78459 1955.88 -6.19008 -8.53677 -1082.04 -13.9417 1588.77 1082.17 427.721 0.0231272
2492.95 1809.58 684.315 -0.827319 684.313 1.18928 -4.62429 -825.511 17.0414 538.455 825.7 0.105658 0.03019
2586.41 1382.31 1205.04 22.6978 1204.78 10.0037 -17.3278 -671.575 -4.99944 1022.38 671.817 215.804 0.0318928
29029.3 4989.71 24040.5 -6.74668 24040.5 -47.0537 -10.4655 -1780.07 4.6306 2202.95 1780.11 371.865 0.662061
26652.8 2695.3 23958.4 -19.9093 23958.4 -4.74742 -6.71771 -1449.44 4.59485 2221.48 1449.47 791.701 0.605637
5202.69 2083.36 3120.27 7.89145 3120.23 15.2736 1.62845 -1218.38 -24.2551 2146.15 1218.63 1054.01 0.0859223
14703.3 2649.6 12054.7 -7.92473 12054.6 27.7316 -5.24466 -4047.98 -9.72422 2926.69 4047.99 0.105658 0.314615
1289.27 549.089 741.122 7.9379 741.071 3.66642 -6.12094 -942.596 4.24429 947.035 942.626 2.24113 0.0107972
8707.97 1655.44 7053.46 12.9671 7053.45 -1.31458 -10.086 -1347.85 5.85335 2309.98 1347.9 811.678 0.16774
54659.5 16126.1 38534.3 -10.9354 38534.3 26.6774 0.391988 -1888.2 -1.53644 1703.63 1888.2 0.105658 1.23574
9643.9 6171.56 3473.28 -7.52327 3473.24 -16.021 -3.64213 -2171.22 18.1103 2030.87 2171.3 0.105658 0.190372
4827.12 1408.36 3419.7 -18.7688 3419.63 10.2396 4.00521 -1262.5 -13.2263 2014.12 1262.58 709.414 0.0776198
8277.25 1167.3 7110.89 8.21452 7110.88 11.7712 -1.45811 -1867.79 1.54226 1596.17 1867.79 0.105658 0.157396
10540.7 1675.66 8866.01 -10.4067 8865.94 -32.1211 -7.53606 -235.419 9.27161 3027.22 235.722 6424.77 0.212219
65822 34626.9 31196.1 -50.6753 31196 -40.8003 -0.334846 -2045.96 8.89709 5122.57 2045.98 8598.44 1.46754
1890.2 813.077 1078.07 11.2684 1077.98 -7.35086 8.09012 0.793536 -1.35133 1093.3 8.2405 1067.86 6.05897e-06
