# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
40568.7 38401.3 2168.35 9.49606 2168.33 -3.92365 -21.6465 -6376.42 -6.49269 313.957 6376.46 0.105658 1.20244
12312.1 5525.94 6787.08 2.08955 6787.08 2.68576 -10.0763 -3226.99 -18.8682 1758.47 3227.06 0.105658 0.375094
38053.4 8222.66 29831.7 -13.9631 29831.6 70.5499 10.7864 -2415.59 -25.0337 2207.74 2415.75 0.105658 1.13626
75730.1 40238.7 35492.3 19.2224 35492.3 -21.9525 -0.437093 -5164.01 -9.53068 4562.91 5164.02 0.105658 2.02941
26681.5 13060.6 13621.8 26.7013 13621.7 10.1539 -13.6162 -2399.99 6.20882 2556.71 2400.04 101.335 0.820802
58288.6 53647.6 4641.96 31.3466 4641.81 -20.2753 -19.7617 -4258.67 20.5877 1773.32 4258.76 0.105658 1.63921
117567 34296.2 83271.8 -32.1117 83271.8 41.8683 -7.94089 -5961.13 -20.5677 4621.48 5961.17 0.105658 2.85557
54285.6 15764.2 38522.3 -21.8519 38522.3 -22.311 8.3772 -2360.77 13.4982 4041.31 2360.82 2585.12 1.54455
14127.8 96.2149 14032.5 -0.0514931 14032.5 7.92785 4.32958 -1370.56 -1.2405 3069.08 1370.57 4238.77 0.434671
10737.4 2589.86 8148.45 -8.85513 8148.42 18.4975 -3.31964 -2985.64 -16.0169 1807.24 2985.68 0.105658 0.322719
26281.7 4408.99 21873.7 28.6033 21873.6 36.1429 5.01388 -93.8762 -3.12399 1939.61 94.0619 13858.1 0.80917
39504.8 3621.62 35884.1 -26.6028 35884.1 26.4728 10.6237 -3894 -6.10778 1997.78 3894.02 0.105658 1.17459
49214.9 8572.15 40643.7 -20.9275 40643.7 -12.1513 -7.71912 -4915.11 16.9955 4003.58 4915.15 0.105658 1.42147
15260.8 8601.73 6660.02 -3.73205 6660.02 2.78146 3.13738 -1068.44 -19.9341 2521.38 1068.63 1382.51 0.47138
5574.78 516.595 5059.12 -16.6843 5059.1 2.93039 7.8417 -3350.75 -13.5015 1237.8 3350.79 0.105658 0.148724
34225.4 17650.7 16575.7 -17.0531 16575.6 36.3895 7.54387 -3318.29 -22.3635 2089.52 3318.37 0.105658 1.03319
39589.1 2542.69 37047.3 -38.1119 37047.3 -4.82203 -0.70913 -3998.1 16.0919 1313.22 3998.14 0.105658 1.1768
9331.57 4075.56 5256.94 -7.95323 5256.94 2.78106 -2.02412 -252.064 -5.61704 2837.9 252.135 4388.22 0.275499
